MARKETPLACE,MARKETPLACE_ADDRESS,BUYERS,SELLERS
mmm,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,16372,82759
hyperspace,HYPERfwdTjyJ2SCaKHmpF2MtrXqWxrsotYDsTrshHWq8,2161,2610
hadeswap,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,4219,8001
grape.art,hausS13jsjafwWwGqZTUQRmWyvyxn9EQpqMwV1PBBmk,481,437
tensorswap,TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN,84919,104951
,6U2LkBQ6Bqd1VFt7H76343vpSwS5Tb1rNyXSNnjkf9VL,221,299
,5SKmrbAxnHV2sgqyDXkGrLrokZYtWWVEEk5Soed7VLVN,22,15
magic eden,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,112629,175314
,J7RagMKwSD5zJSbRQZU56ypHUtux8LRDkUpAPSKH4WPp,1,13
,EXBuYPNgBUXMTsjCbezENRUtFQzjUNZxvPGTd11Pznk5,2650,2767
,exAuvFHqXXbiLrM4ce9m1icwuSyXytRnfBkajukDFuB,545,451
solanart,CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,3159,3195
